token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
13538,2026-06-01 09:15:14+05:30,1507.0,100,1504.95,48190,58163.0,60046.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1505.7,148,3,1505.6,112,2,1505.5,181,2,1505.2,367,1,1505.1,127,2,1507.0,30,1,1507.1,3,1,1507.2,4,1,1507.3,109,1,1507.4,82,2
13538,2026-06-01 09:15:15+05:30,1506.6,10,1504.97,49480,58533.0,60849.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1505.2,49,2,1505.1,18,2,1505.0,11,1,1504.9,40,2,1504.8,53,3,1506.7,171,2,1506.8,97,3,1507.0,213,2,1507.1,6,1,1507.2,113,2
13538,2026-06-01 09:15:16+05:30,1505.0,13,1504.97,49480,58533.0,60849.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1505.2,49,2,1505.1,18,2,1505.0,11,1,1504.9,40,2,1504.8,53,3,1506.7,171,2,1506.8,97,3,1507.0,213,2,1507.1,6,1,1507.2,113,2
13538,2026-06-01 09:15:16+05:30,1507.0,37,1504.98,49905,59695.0,61191.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.1,34,1,1506.0,18,1,1505.9,32,3,1505.5,1,1,1505.4,54,1,1507.4,199,2,1507.5,209,2,1507.7,77,2,1507.8,203,2,1507.9,15,2
13538,2026-06-01 09:15:17+05:30,1507.5,77,1504.98,50051,59195.0,60161.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.4,67,3,1506.1,11,1,1505.9,3,1,1505.8,11,1,1505.6,19,2,1507.5,13,1,1507.8,24,1,1508.0,396,2,1508.1,99,2,1508.2,9,2
13538,2026-06-01 09:15:18+05:30,1508.5,18,1504.98,50051,59195.0,60161.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.4,67,3,1506.1,11,1,1505.9,3,1,1505.8,11,1,1505.6,19,2,1507.5,13,1,1507.8,24,1,1508.0,396,2,1508.1,99,2,1508.2,9,2
13538,2026-06-01 09:15:19+05:30,1508.0,10,1505.03,51151,60584.0,60114.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1507.2,43,2,1507.1,19,1,1506.8,10,1,1506.6,128,1,1506.5,11,1,1507.9,37,2,1508.0,24,1,1508.1,24,1,1508.3,24,1,1508.4,53,1
13538,2026-06-01 09:15:20+05:30,1506.4,159,1505.03,51151,60584.0,60114.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1507.2,43,2,1507.1,19,1,1506.8,10,1,1506.6,128,1,1506.5,11,1,1507.9,37,2,1508.0,24,1,1508.1,24,1,1508.3,24,1,1508.4,53,1
13538,2026-06-01 09:15:20+05:30,1506.4,159,1505.09,52473,58526.0,64975.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.2,9,1,1506.1,11,2,1506.0,177,1,1505.6,157,1,1505.5,181,2,1507.0,25,1,1507.1,34,1,1507.2,58,2,1507.4,31,2,1507.6,25,1
13538,2026-06-01 09:15:21+05:30,1506.7,9,1505.09,52697,59348.0,68251.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.3,9,1,1506.2,18,1,1506.0,132,1,1505.8,155,1,1505.6,22,1,1506.7,34,1,1506.8,20,2,1506.9,317,1,1507.0,1000,1,1507.1,59,2
13538,2026-06-01 09:15:22+05:30,1506.6,9,1505.09,52697,59348.0,68251.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.3,9,1,1506.2,18,1,1506.0,132,1,1505.8,155,1,1505.6,22,1,1506.7,34,1,1506.8,20,2,1506.9,317,1,1507.0,1000,1,1507.1,59,2
13538,2026-06-01 09:15:22+05:30,1505.5,10,1505.1,52968,58279.0,70463.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1505.5,18,3,1505.2,15,1,1505.1,34,1,1505.0,30,1,1504.8,15,2,1506.0,30,1,1506.1,58,2,1506.2,76,2,1506.3,25,1,1506.4,154,1
13538,2026-06-01 09:15:23+05:30,1507.0,9,1505.1,53245,59295.0,68924.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.0,18,1,1505.9,44,4,1505.8,18,2,1505.7,34,1,1505.6,78,1,1506.9,84,3,1507.0,1142,2,1507.1,6,1,1507.2,33,1,1507.4,6,1
13538,2026-06-01 09:15:24+05:30,1506.1,25,1505.1,53245,59295.0,68924.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.0,18,1,1505.9,44,4,1505.8,18,2,1505.7,34,1,1505.6,78,1,1506.9,84,3,1507.0,1142,2,1507.1,6,1,1507.2,33,1,1507.4,6,1
13538,2026-06-01 09:15:24+05:30,1505.9,1,1505.11,53585,59616.0,69975.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.0,19,2,1505.8,1,1,1505.5,34,1,1505.4,239,3,1505.3,94,2,1506.9,99,4,1507.0,1196,3,1507.1,6,1,1507.2,33,1,1507.4,6,1
13538,2026-06-01 09:15:25+05:30,1506.3,5,1505.11,53693,59971.0,70921.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.3,31,2,1506.0,1,1,1505.8,1,1,1505.6,34,1,1505.5,67,1,1506.7,23,1,1506.8,87,2,1506.9,155,2,1507.0,1047,3,1507.1,29,2
13538,2026-06-01 09:15:26+05:30,1505.6,42,1505.11,53693,59971.0,70921.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1506.3,31,2,1506.0,1,1,1505.8,1,1,1505.6,34,1,1505.5,67,1,1506.7,23,1,1506.8,87,2,1506.9,155,2,1507.0,1047,3,1507.1,29,2
13538,2026-06-01 09:15:26+05:30,1504.5,14,1505.11,54340,58594.0,72972.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1503.8,38,2,1503.7,49,2,1503.6,23,1,1503.5,152,2,1503.4,23,3,1505.0,24,1,1505.1,76,2,1505.2,45,1,1505.4,99,1,1505.6,112,3
13538,2026-06-01 09:15:27+05:30,1505.6,9,1505.11,54574,60585.0,71629.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1504.6,57,2,1504.5,149,2,1504.4,33,3,1504.3,6,1,1504.2,22,2,1506.0,76,2,1506.1,6,1,1506.2,85,2,1506.3,100,1,1506.4,30,2
13538,2026-06-01 09:15:28+05:30,1504.8,7,1505.11,54574,60585.0,71629.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1504.6,57,2,1504.5,149,2,1504.4,33,3,1504.3,6,1,1504.2,22,2,1506.0,76,2,1506.1,6,1,1506.2,85,2,1506.3,100,1,1506.4,30,2
13538,2026-06-01 09:15:28+05:30,1501.8,50,1505.1,55201,57116.0,76436.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1501.7,8,1,1501.5,25,1,1500.7,34,1,1500.6,34,3,1500.5,10,2,1502.1,12,1,1502.2,23,1,1502.4,23,1,1502.5,53,1,1502.6,23,1
13538,2026-06-01 09:15:29+05:30,1505.3,9,1505.05,57036,60975.0,73740.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1503.5,138,2,1503.3,3,1,1503.2,67,3,1503.1,7,2,1502.8,26,1,1505.2,232,3,1505.3,76,2,1505.4,130,1,1505.5,74,4,1505.6,73,1
13538,2026-06-01 09:15:30+05:30,1503.5,18,1505.05,57036,60975.0,73740.0,1495.2,1512.9,1495.2,1483.9,26270400,1632.2,1335.6,1854.0,1304.1,1503.5,138,2,1503.3,3,1,1503.2,67,3,1503.1,7,2,1502.8,26,1,1505.2,232,3,1505.3,76,2,1505.4,130,1,1505.5,74,4,1505.6,73,1
