token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
13538,2026-03-30 09:15:11+05:30,1384.5,157,1383.29,28427,38482.0,52500.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1385.4,50,1,1385.3,50,1,1384.5,99,2,1384.4,85,1,1384.3,48,2,1386.5,72,1,1386.6,16,1,1387.3,50,1,1387.4,99,2,1387.5,50,1
13538,2026-03-30 09:15:12+05:30,1385.9,32,1383.32,29107,43398.0,57557.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1384.8,72,1,1384.7,27,1,1384.4,50,1,1383.8,50,1,1383.7,274,3,1385.8,16,1,1386.1,10,1,1386.2,94,1,1386.3,274,2,1386.4,15,1
13538,2026-03-30 09:15:13+05:30,1384.8,1,1383.37,29627,44099.0,58458.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1384.8,2,1,1384.4,50,1,1384.3,2,1,1384.2,1,1,1384.1,27,1,1385.8,72,1,1385.9,16,1,1386.0,61,1,1386.2,50,1,1386.3,50,1
13538,2026-03-30 09:15:13+05:30,1384.8,1,1383.37,29627,44099.0,58458.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1384.8,2,1,1384.4,50,1,1384.3,2,1,1384.2,1,1,1384.1,27,1,1385.8,72,1,1385.9,16,1,1386.0,61,1,1386.2,50,1,1386.3,50,1
13538,2026-03-30 09:15:14+05:30,1386.8,9,1383.45,30513,48271.0,57307.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1386.1,72,1,1386.0,9,1,1385.8,1,1,1385.5,101,2,1385.4,94,1,1386.8,28,1,1387.1,50,1,1387.2,58,2,1387.3,1,1,1387.5,50,1
13538,2026-03-30 09:15:15+05:30,1386.1,65,1383.46,30590,48898.0,59185.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1386.3,9,1,1385.9,40,2,1385.6,95,1,1385.5,41,2,1385.4,106,3,1386.8,91,3,1387.1,72,1,1387.2,21,1,1387.3,1,1,1387.4,51,2
13538,2026-03-30 09:15:15+05:30,1386.1,65,1383.46,30590,48898.0,59185.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1386.3,9,1,1385.9,40,2,1385.6,95,1,1385.5,41,2,1385.4,106,3,1386.8,91,3,1387.1,72,1,1387.2,21,1,1387.3,1,1,1387.4,51,2
13538,2026-03-30 09:15:16+05:30,1385.6,12,1383.47,30889,47396.0,61913.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1384.4,65,2,1384.3,29,1,1384.2,1,1,1384.1,59,2,1384.0,50,1,1385.6,29,2,1385.7,11,1,1385.9,77,1,1386.0,89,2,1386.1,87,3
13538,2026-03-30 09:15:17+05:30,1384.9,1,1383.47,30889,47396.0,61913.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1384.4,65,2,1384.3,29,1,1384.2,1,1,1384.1,59,2,1384.0,50,1,1385.6,29,2,1385.7,11,1,1385.9,77,1,1386.0,89,2,1386.1,87,3
13538,2026-03-30 09:15:17+05:30,1383.6,1,1383.48,30941,47075.0,64954.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1383.6,27,1,1383.5,1,1,1383.1,236,1,1383.0,121,1,1382.9,73,2,1384.4,28,1,1384.5,36,1,1384.6,29,1,1384.7,41,2,1384.8,28,1
13538,2026-03-30 09:15:18+05:30,1383.2,1,1383.45,32228,43327.0,67727.0,1380.0,1387.8,1380.0,1391.6,38802000,1530.7,1252.5,1854.0,1209.4,1381.8,36,1,1381.7,30,2,1381.6,104,1,1381.5,151,3,1381.4,151,3,1383.2,141,2,1383.6,118,6,1383.8,47,1,1383.9,26,2,1384.0,175,2
